#Halbleiter
IE000I8KRLL9;SECO.DE
IE00BMC38736;VVSM.DE
LU1900066033;LSMC.DE
IE000YDZG487;HNSC.DE
LU2023678282;DRUP.DE
LU2090063327;LYSM.DE

#AI Big Data
IE00BGV5VN51;XAIX.DE
IE00BK5BCD43;XMLD.DE
IE00BDVPNG13;WTI2.DE
IE000Q9W2IR3;AIAA.DE

#AI Hardware
IE000X59ZHE2;AIFS.DE
IE000G0E83X3;IART.DE

#Cyber Security
IE00BYPLS672;USPY.DE
IE00BG0J4C88;L0CK.DE
IE00BF16M727;CBRS.DE
IE00BLPK3577;W1TB.DE
IE00BG0J4841;IS4S.DE
IE00BJXRZJ40;RCRS.DE

#Cloud
IE00BFD2H405;SKYE.DE
IE00BJGWQN72;WTEJ.DE

#Robotic
IE00BYZK4552;2B76.DE
IE00BMW3QX54;IROB.DE
IE00BYWZ0333;2B7F.DE
LU1861132840;GOAI.DE
IE0003A512E4;AAKI.DE
IE00BLCHJB90;XB0T.DE

#Militär/Verteidigung
IE000YYE6WK5;DFEN.DE
IE0002Y8CX98;EUDF.DE
IE000OJ5TQP4;ASWC.DE
IE000U9ODG19;5J50.DE
LU3038520774;EDFS.DE
LU3047998896;BJL8.DE
IE000JCW3DZ3;4MMR.DE
IE000IAXNM41;DFNC.DE
IE000I7E6HL0;8RMY.DE
IE000NVDQXE1;FTGA.DE
IE000BRM9046;IVDF.DE

#Technologie
IE00BKLF1R75;W1TA.DE
IE000AWRDWI7;CNFY.DE
IE00BMDKNW35;DAVV.DE
IE0007Y8Y157;QUTM.DE
IE000RDRMSD1;CBUT.DE
IE00BGV5VR99;XMOV.DE
IE00BGL86Z12;IEVD.DE
LU2023679090;ELCR.DE
IE00BMW42413;ESIT.DE
IE00BKWQ0K51;SPYK.DE
IE00BGBN6P67;BNXG.DE
LU1834988518;LTUG.DE
DE000A0H08Q4;EXV3.DE
DE0005933972;EXS2.DE
IE000NFR7C63;CBUK.DE
IE00BYTRRD19;SPFT.DE
LU0533033741;8Q70.DE
LU0533033667;LYPG.DE
IE00BM67HT60;XDWT.DE
IE00BJ5JNY98;AYEW.DE
IE00B3WJKG14;QDVE.DE
IE00B3VSSL01;SML3.DE
IE00BWBXM948;ZPDT.DE
IE00BGQYRS42;XUTC.DE
IE000E7EI9P0;WELU.DE
LU2265794946;UIC1.DE
LU2023678878;EBUY.DE
LU2265794276;UIC2.DE
IE00BYWQWR46;ESP0.DE
IE00BMWXKN31;H4ZX.DE
IE00BYZK4883;2B79.DE
IE00BFXR7892;KWBE.DE

#Gesundheit
IE00BMX0DF60;U5MD.DE
LU1834986900;LHTC.DE
LU0292103222;DXSE.DE
IE00BMW42181;ESIH.DE
IE00BKWQ0H23;SPYH.DE
DE000A0Q4R36;EXV4.DE
IE00BYZK4669;2B77.DE
IE0006FM6MI8;WELS.DE
IE000JKS50V3;WELG.DE
IE0009QS7W62;CBUR.DE
IE00BJ5JNZ06;CBUF.DE
IE00BMBKBZ46;IUHE.DE
IE00BM67HK77;XDWH.DE
IE00BYTRRB94;SPFS.DE
LU0533033238;LYPE.DE
IE00BYZK4776;2B78.DE
IE00B43HR379;QDVG.DE
IE00BK5BC677;XMLH.DE
IE00BWBXM617;ZPDH.DE
IE00B3WMTH43;SML4.DE
IE00BCHWNW54;XUHC.DE
IE00BYXG2H39;2B70.DE
IE00BQ70R696;NBTK.DE

#Industrie
IE00BF0M2Z96;BATE.DE
IE000U6ABUJ7;IRFT.DE
DE000A0H08F7;EXV8.DE
IE00BMW42520;ESIN.DE
IE00BKWQ0J47;SPYQ.DE
LU1834987890;LIGS.DE
IE00BJ5JP659;CEBQ.DE
DE000A0H08J9;EXH4.DE
IE00BCHWNV48;XUIN.DE
IE00BM67HV82;XDWI.DE
IE00BYTRRC02;SS44.DE
IE000LTA2082;WELH.DE
IE00B4LN9N13;2B7C.DE
IE00BWBXM724;ZPDI.DE
IE00B3YC1100;SML6.DE

#Finanzen
DE000A2QP372;EXI4.DE
IE00B3Q19T94;S7XE.DE
DE0006289309;EXX1.DE
LU1829219390;LYBK.DE
IE00B5MTWD60;SC0U.DE
LU2082996112;INDA.DE
LU1834983477;LBNK.DE
DE000A0F5UJ7;EXV1.DE
LU0292103651;XS7R.DE
IE00BJ5JP097;7KQ0.DE
IE00BMW42306;ESIF.DE
IE00BKWQ0G16;SPYZ.DE
IE00BM67HL84;XDWF.DE
LU0533033071;1DR0.DE
LU0533032859;LYPD.DE
IE00B4JNQZ49;QDVH.DE
IE00BYTRR970;SS43.DE
IE00BD3V0B10;IUS2.DE
IE00BWBXM500;ZPDF.DE
IE00BCHWNT26;XUFN.DE
IE000KYX7IP4;WELK.DE

#Energie
IE000NXF88S1;V0IH.DE
LU1834988278;LOGS.DE
DE000A0H08M3;EXH1.DE
IE000J0LN0R5;WELN.DE
IE00B6R51Z18;IS0D.DE
IE000MELAE65;CEBM.DE
IE00BKWQ0F09;SPYN.DE
IE00B8CJW150;SMLD.DE
IE00BMW42637;ESIE.DE
IE00BM67HM91;XDW0.DE
IE00BYTRR863;SS42.DE
IE00BJ5JP105;5MVW.DE
IE00B42NKQ00;QDVF.DE
IE00BWBXM492;ZPDE.DE
IE00BCHWNS19;XUEN.DE

#Konsumgüter
IE00BM67HN09;XDWS.DE
IE00BWBXM385;ZPDS.DE
